job title,company name,location,skills,links
Senior Implementation Consultant,Flairstech,"Cairo, Egypt ",Full timeExperienced · 3+ Yrs of Exp · Implementation · ERP · Cloud · SaaS · Troubleshooting · Information Technology (IT) · Computer Science · Software · Computer Engineering · AWS,https://wuzzuf.net/jobs/p/9VNRM9BNrCzf-Senior-Implementation-Consultant-Flairstech-Cairo-Egypt?o=40&l=sp&t=sj&a=python|search-v3|navbl
Senior Machine Learning Engineer (NLP),Botit,"Downtown, Cairo, Egypt ",Full timeExperienced · 3 - 8 Yrs of Exp · Machine Learning · Python · NLP · Engineering · Software Engineering · Mathematics · Computer Science · Information Technology (IT) · Computer Engineering · English,https://wuzzuf.net/jobs/p/8MPpHbAICLKQ-Senior-Machine-Learning-Engineer-NLP-Botit-Cairo-Egypt?o=41&l=sp&t=sj&a=python|search-v3|navbl
Odoo Developer,Confidential -,"Nasr City, Cairo, Egypt ",Full timeEntry Level · 1 - 3 Yrs of Exp · Odoo · Computer Science · Python · Odoo Modules · GITLAB · PostgreSQL · Information Technology (IT) · Software Development · IT/Software Development · Engineering - Telecom/Technology,https://wuzzuf.net/jobs/p/sfUxNSsuVCQZ-Odoo-Developer-Cairo-Egypt?o=42&l=sp&t=sj&a=python|search-v3|navbl
Backend Developer PHP/JAVA,Confidential -,"Cairo, Egypt ",Full timeExperienced · 3 - 5 Yrs of Exp · Development · Programming · Software Development · Information Technology (IT) · Computer Science · Java · PHP · Web Development · Python · Communication Skills,https://wuzzuf.net/jobs/p/pDY2WIRAtZWq-Backend-Developer-PHPJAVA-Cairo-Egypt?o=43&l=sp&t=sj&a=python|search-v3|navbl
NodeJS Backend Developer,Rytalo,"Obour City, Cairo, Egypt ",Full timeWork from homeExperienced · 3+ Yrs of Exp · Engineering · Computer Science · Information Technology (IT) · Software Development · Microservices · NoSQL · Nodejs · javaScript · MySQL · Agile,https://wuzzuf.net/jobs/p/eIy6RhjK2Ryu-NodeJS-Backend-Developer-Rytalo-Cairo-Egypt?o=44&l=sp&t=sj&a=python|search-v3|navbl
Senior Software Developer,Genify.ai,"New Cairo, Cairo, Egypt ",Full timeWork from homeManager · 2 - 7 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Software Engineering · SQL · Software · Git · REST · javaScript · HTML,https://wuzzuf.net/jobs/p/1J6nTPX3s6KU-Senior-Software-Developer-Genify-ai-Cairo-Egypt?o=45&l=sp&t=sj&a=python|search-v3|navbl
Full Stack Developer,RentUp,"Zamalek, Cairo, Egypt ",Full timeExperienced · 4+ Yrs of Exp · Laravel · Machine Learning · Python · Information Technology (IT) · Computer Science · Software Development · javaScript · PHP · MySQL · Agile,https://wuzzuf.net/jobs/p/OQ6cptH3SHGL-Full-Stack-Developer-RentUp-Cairo-Egypt?o=46&l=sp&t=sj&a=python|search-v3|navbl
Front End Developer,Charisma Design,"Nasr City, Cairo, Egypt ",Full timeExperienced · 2+ Yrs of Exp · Information Technology (IT) · Software Engineering · Software Development · Web Development · Front End · UI · HTML · CSS · Javascript · Vuejs,https://wuzzuf.net/jobs/p/uRk7X7JdicAC-Front-End-Developer-Charisma-Design-Cairo-Egypt?o=47&l=sp&t=sj&a=python|search-v3|navbl
Application Support Engineer,Testing Geeks,"Dokki, Giza, Egypt ",Full timeExperienced · 2 - 5 Yrs of Exp · Information Technology (IT) · Application Support · SQL · Computer Science · PHP · Laravel · Python · Typescript · Vuejs · Javascript,https://wuzzuf.net/jobs/p/xJGVvZUNLxdn-Application-Support-Engineer-Testing-Geeks-Giza-Egypt?o=48&l=sp&t=sj&a=python|search-v3|navbl
Curriculum Developer (Computer Science),iSchool,"New Cairo, Cairo, Egypt ",Full timeEntry Level · 1+ Yrs of Exp · Computer Science · Information Technology (IT) · Software Development · javaScript · Communication Skills · Communication · Skills · R&d · research · Python,https://wuzzuf.net/jobs/p/7KiybhNsGJmx-Curriculum-Developer-Computer-Science-iSchool-Cairo-Egypt?o=49&l=sp&t=sj&a=python|search-v3|navbl
